asin,title,trend_score,trend_label,sales_growth,review_growth,bsr_improvement,price_value,price_currency,rating,ratings_total,is_prime,is_amazon_choice,is_best_seller,collected_at
B0CGCMS31N,"OtterBox iPhone 16e, 15, 14, & 13 Commuter Series Case - Black, Slim & Tough, Pocket-Friendly, with Port Protection",54.34,➡️ 稳定发展,50,84.47,30,"{'symbol': '$', 'value': 24.97, 'raw': '$24.97'}",$,4.6,8447,False,False,False,2026-03-27T02:55:25.924828
B0BQPNMXQV,"JBL Vibe Beam - True Wireless JBL Deep Bass Sound Earbuds, Bluetooth 5.2, Water & Dust Resistant, Hands-Free Call with VoiceAware, Up to 32 Hours of Battery Life (Black)",51.0,➡️ 稳定发展,30,100.0,30,"{'symbol': '$', 'value': 29.94, 'raw': '$29.94'}",$,4.3,36211,False,False,False,2026-03-27T02:55:20.567663
B09FT58QQP,"TOZO A1 Wireless Earbuds Bluetooth 5.3 Light Weight in Ear IPX5 Waterproof Headphones 2 Mic for AI Calls, Immersive Premium Sound Bass Headset with Charging Case, 32 Presets EQ Customization via App",51.0,➡️ 稳定发展,30,100.0,30,"{'symbol': '$', 'value': 13.98, 'raw': '$13.98'}",$,4.3,111938,False,False,False,2026-03-27T02:55:20.567675
B0BTYCRJSS,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization (Black)",51.0,➡️ 稳定发展,30,100.0,30,"{'symbol': '$', 'value': 19.98, 'raw': '$19.98'}",$,4.4,99682,False,False,False,2026-03-27T02:55:20.567677
B0D9VS4PV7,"SUPFINE Magnetic for iPhone 14 Case & iPhone 13 Case (Compatible with MagSafe)(Military Grade Drop Protection) Translucent Matte Shockproof Phone Cover,Black",51.0,➡️ 稳定发展,30,100.0,30,"{'symbol': '$', 'value': 9.99, 'raw': '$9.99'}",$,4.6,58334,False,False,False,2026-03-27T02:55:25.924836
B0DFH8SNK5,FNTCASE for iPhone 15 Case: for iPhone 14 Case & iPhone 13 Case [Compatible with Magsafe] Translucent Matte Magnetic Phone Cover - Military Grade Drop Protection Shockproof Protective Cases - Pink,51.0,➡️ 稳定发展,30,100.0,30,"{'symbol': '$', 'value': 8.99, 'raw': '$8.99'}",$,4.5,23553,False,False,False,2026-03-27T02:55:25.924841
B08BRCT4JH,"BESIGN LS03 Aluminum Laptop Stand, Ergonomic Detachable Computer Stand, Notebook Riser Compatible with Air, Pro, Dell, HP, Lenovo More 10-15.6"" Laptops, Silver",51.0,➡️ 稳定发展,30,100.0,30,"{'symbol': '$', 'value': 14.99, 'raw': '$14.99'}",$,4.8,23190,False,False,False,2026-03-27T02:55:30.426507
B077B9W343,"Nulaxy Ergonomic Adjustable Laptop Stand for Desk, Dual Foldable Computer Riser with Advanced Heat-Vent, Heavy-Duty Portable Notebook Holder for Posture Correction, Compatible with Mac 10-17"" Laptops",51.0,➡️ 稳定发展,30,100.0,30,"{'symbol': '$', 'value': 16.99, 'raw': '$16.99'}",$,4.8,16544,False,False,False,2026-03-27T02:55:30.426511
B0CGCMWD2N,"OtterBox iPhone 15 Pro MAX (Only) Commuter Series Case - Black, Slim & Tough, Pocket-Friendly, with Port Protection",44.59,➡️ 稳定发展,50,51.96,30,"{'symbol': '$', 'value': 23.97, 'raw': '$23.97'}",$,4.6,5196,False,False,False,2026-03-27T02:55:25.924843
B0C7BKZ883,"Adjustable Laptop Stand for Desk, Metal Foldable Laptop Riser Holder, Portable Desktop Book Stands, Ventilated Cooling Computer Notebook Stand Compatible with 10-15.6” Laptops",39.25,⚠️ 增长放缓,50,34.17,30,"{'symbol': '$', 'value': 14.99, 'raw': '$14.99'}",$,4.6,3417,False,False,False,2026-03-27T02:55:30.426497
B0G6KLZC6N,"Laptop Stand for Desk Aluminum Computer Riser Portable Metal Notebook Holder Printer Stand Compatible with MacBook Air, Pro, Dell, HP, Lenovo and All 10-16"" Laptops, Black",39.17,⚠️ 增长放缓,70,7.25,30,"{'symbol': '$', 'value': 9.99, 'raw': '$9.99'}",$,4.7,725,False,False,False,2026-03-27T02:55:30.426504
